from_coordinate,from_taz,to_coordinate,to_taz,departure_time
36.146043 -86.816551,4703700000450,36.145816 -86.799116,4703700000434,1516629715866
36.14515 -86.642602,4703700000368,36.140998 -86.813493,4703700000453,1516631188547
36.14515 -86.642602,4703700000368,36.144672 -86.803064,4703700000445,1516629937919
36.144681 -86.827849,4703700000227,36.144672 -86.803064,4703700000445,1516632644152
36.149903 -86.800395,4703700000713,36.141969 -86.806068,4703700000448,1516630116293
36.149903 -86.800395,4703700000713,36.143494 -86.811862,4703700000453,1516629812489
36.117809 -86.905361,4703700000537,36.143494 -86.811862,4703700000453,1516631294279
36.173784 -86.610896,4703700000311,36.140998 -86.813493,4703700000453,1516629813464
36.045554 -86.961614,4703700000572,36.144672 -86.803064,4703700000445,1516631293839
36.045554 -86.961614,4703700000572,36.140998 -86.813493,4703700000453,1516630639730
36.21181 -86.595639,4703700000298,36.144672 -86.803064,4703700000445,1516630142085
36.08374 -86.582805,4703700000351,36.144672 -86.803064,4703700000445,1516629976644
36.045275 -86.975064,4703700000573,36.140998 -86.813493,4703700000453,1516629800796
36.045275 -86.975064,4703700000573,36.140998 -86.813493,4703700000453,1516632820009
36.045275 -86.975064,4703700000573,36.143494 -86.811862,4703700000453,1516631076663
36.136324 -86.837034,4703700000459,36.141969 -86.806068,4703700000448,1516632352646
36.020754 -86.677161,4703700000672,36.143494 -86.811862,4703700000453,1516631018501
36.020754 -86.677161,4703700000672,36.144672 -86.803064,4703700000445,1516631722534
36.06814 -86.950343,4703700000576,36.141969 -86.806068,4703700000448,1516631310239
36.093029 -86.874598,4703700000583,36.145816 -86.799116,4703700000434,1516630341124
36.162112 -86.846521,4703700000221,36.145816 -86.799116,4703700000434,1516630966854
36.093746 -86.828484,4703700000519,36.140998 -86.813493,4703700000453,1516630861786
36.144703 -86.802655,4703700000445,36.143494 -86.811862,4703700000453,1516631850974
36.145705 -86.800249,4703700000445,36.141969 -86.806068,4703700000448,1516632837055
36.145705 -86.800249,4703700000445,36.143494 -86.811862,4703700000453,1516631380875
36.145705 -86.800249,4703700000445,36.143494 -86.811862,4703700000453,1516629899556
36.164891 -86.585052,4703700000319,36.140998 -86.813493,4703700000453,1516631057661
36.003377 -86.688433,4703700000671,36.140998 -86.813493,4703700000453,1516630172141
36.152033 -86.778566,4703700000710,36.144672 -86.803064,4703700000445,1516631667037
36.185704 -86.750809,4703700000174,36.140998 -86.813493,4703700000453,1516630946675
36.119519 -86.923525,4703700000549,36.145816 -86.799116,4703700000434,1516630069673
36.04715 -86.961961,4703700000572,36.143494 -86.811862,4703700000453,1516632105311
36.04715 -86.961961,4703700000572,36.140998 -86.813493,4703700000453,1516631169388
36.04715 -86.961961,4703700000572,36.145816 -86.799116,4703700000434,1516633096756
36.11725 -86.799041,4703700000467,36.141969 -86.806068,4703700000448,1516629617550
36.154544 -86.798537,4703700000723,36.144672 -86.803064,4703700000445,1516630319482
36.232907 -86.696411,4703700000276,36.144672 -86.803064,4703700000445,1516632609709
36.118707 -86.73343,4703700000484,36.140998 -86.813493,4703700000453,1516631773120
36.159363 -86.859569,4703700000218,36.144672 -86.803064,4703700000445,1516630434147
36.108077 -86.787786,4703700000507,36.144672 -86.803064,4703700000445,1516631783448
36.223102 -86.847581,4703700000048,36.141969 -86.806068,4703700000448,1516630727248
36.089617 -86.93777,4703700000558,36.144672 -86.803064,4703700000445,1516631225126
36.174149 -86.610832,4703700000311,36.141969 -86.806068,4703700000448,1516629871976
36.31362 -86.724185,4703700000065,36.140998 -86.813493,4703700000453,1516632705334
36.062048 -86.684124,4703700000655,36.140998 -86.813493,4703700000453,1516630755873
36.149582 -86.799653,4703700000713,36.140998 -86.813493,4703700000453,1516630737247
36.145262 -86.805234,4703700000445,36.144672 -86.803064,4703700000445,1516632357271
36.145262 -86.805234,4703700000445,36.145816 -86.799116,4703700000434,1516631370467
36.03479 -86.674498,4703700000682,36.144672 -86.803064,4703700000445,1516631533911
36.03479 -86.674498,4703700000682,36.141969 -86.806068,4703700000448,1516631287774
36.144382 -86.802198,4703700000445,36.141969 -86.806068,4703700000448,1516629754901
36.168895 -86.61403,4703700000311,36.143494 -86.811862,4703700000453,1516630736467
36.368638 -86.736595,4703700000063,36.140998 -86.813493,4703700000453,1516630404372
36.368638 -86.736595,4703700000063,36.141969 -86.806068,4703700000448,1516633159613
36.148231 -86.802774,4703700000445,36.143494 -86.811862,4703700000453,1516630416996
36.145705 -86.800249,4703700000445,36.145816 -86.799116,4703700000434,1516630161571
36.145705 -86.800249,4703700000445,36.141969 -86.806068,4703700000448,1516631028726
36.145705 -86.800249,4703700000445,36.144672 -86.803064,4703700000445,1516631042098
36.034151 -86.676806,4703700000666,36.144672 -86.803064,4703700000445,1516629730821
36.23343 -86.772229,4703700000126,36.141969 -86.806068,4703700000448,1516631276577
36.044297 -86.977436,4703700000573,36.145816 -86.799116,4703700000434,1516629813789
36.065202 -86.96043,4703700000568,36.141969 -86.806068,4703700000448,1516631592495
36.065202 -86.96043,4703700000568,36.143494 -86.811862,4703700000453,1516630176992
36.182582 -86.792078,4703700000700,36.143494 -86.811862,4703700000453,1516632144006
36.14874 -86.806578,4703700000442,36.145816 -86.799116,4703700000434,1516632542998
36.208934 -86.740054,4703700000146,36.140998 -86.813493,4703700000453,1516632070361
36.114575 -86.838343,4703700000515,36.141969 -86.806068,4703700000448,1516632270730
36.114575 -86.838343,4703700000515,36.141969 -86.806068,4703700000448,1516630971671
36.034826 -86.675411,4703700000682,36.140998 -86.813493,4703700000453,1516633124083
36.127491 -86.779809,4703700000474,36.144672 -86.803064,4703700000445,1516630029377
36.079924 -86.699875,4703700000628,36.143494 -86.811862,4703700000453,1516631496087
36.059718 -86.671595,4703700000382,36.140998 -86.813493,4703700000453,1516633067235
36.059718 -86.671595,4703700000382,36.143494 -86.811862,4703700000453,1516630315421
36.059718 -86.671595,4703700000382,36.145816 -86.799116,4703700000434,1516630273993
36.220053 -86.603065,4703700000284,36.144672 -86.803064,4703700000445,1516632650735
36.141072 -86.793197,4703700000429,36.145816 -86.799116,4703700000434,1516630043788
36.121542 -86.817022,4703700000521,36.144672 -86.803064,4703700000445,1516632230835
36.173125 -86.741551,4703700000187,36.140998 -86.813493,4703700000453,1516632028340
36.178952 -86.740722,4703700000183,36.145816 -86.799116,4703700000434,1516631061250
36.076992 -86.746089,4703700000615,36.144672 -86.803064,4703700000445,1516632601156
36.143189 -86.803208,4703700000445,36.144672 -86.803064,4703700000445,1516631880969
36.143189 -86.803208,4703700000445,36.145816 -86.799116,4703700000434,1516632781284
36.044001 -86.977115,4703700000573,36.140998 -86.813493,4703700000453,1516629748737
36.045983 -86.76136,4703700000605,36.143494 -86.811862,4703700000453,1516631449126
36.178328 -86.795288,4703700000701,36.141969 -86.806068,4703700000448,1516629947731
36.022995 -86.709024,4703700000670,36.140998 -86.813493,4703700000453,1516630743790
36.025853 -86.706537,4703700000670,36.140998 -86.813493,4703700000453,1516631370305
36.144492 -86.811605,4703700000453,36.144672 -86.803064,4703700000445,1516630243838
36.314915 -86.695719,4703700000074,36.143494 -86.811862,4703700000453,1516633132895
36.314915 -86.695719,4703700000074,36.140998 -86.813493,4703700000453,1516630010831
36.314915 -86.695719,4703700000074,36.145816 -86.799116,4703700000434,1516629786142
36.143463 -86.810023,4703700000446,36.145816 -86.799116,4703700000434,1516631498858
36.122168 -86.819404,4703700000521,36.141969 -86.806068,4703700000448,1516633072469
36.122168 -86.819404,4703700000521,36.140998 -86.813493,4703700000453,1516630122332
36.208934 -86.740054,4703700000146,36.140998 -86.813493,4703700000453,1516631802218
36.208934 -86.740054,4703700000146,36.141969 -86.806068,4703700000448,1516630015875
36.045401 -86.733126,4703700000650,36.145816 -86.799116,4703700000434,1516631397994
36.307829 -86.720246,4703700000065,36.144672 -86.803064,4703700000445,1516632959942
36.149253 -86.799062,4703700000713,36.144672 -86.803064,4703700000445,1516632307305
36.190622 -86.795607,4703700000237,36.145816 -86.799116,4703700000434,1516632458105
36.06437 -86.915319,4703700000563,36.143494 -86.811862,4703700000453,1516632589021
36.06437 -86.915319,4703700000563,36.145816 -86.799116,4703700000434,1516632433416
36.142134 -86.80243,4703700000447,36.143494 -86.811862,4703700000453,1516632822444
36.142134 -86.80243,4703700000447,36.140998 -86.813493,4703700000453,1516629826910
36.098596 -86.874158,4703700000538,36.140998 -86.813493,4703700000453,1516631672604
36.225722 -86.724802,4703700000139,36.144672 -86.803064,4703700000445,1516633129820
36.225722 -86.724802,4703700000139,36.141969 -86.806068,4703700000448,1516631049219
36.163609 -86.872219,4703700000215,36.141969 -86.806068,4703700000448,1516631925859
36.149745 -86.800272,4703700000713,36.145816 -86.799116,4703700000434,1516630130940
36.034826 -86.675411,4703700000682,36.144672 -86.803064,4703700000445,1516629794978
36.034826 -86.675411,4703700000682,36.141969 -86.806068,4703700000448,1516632432142
36.043154 -86.66516,4703700000681,36.140998 -86.813493,4703700000453,1516629966805
36.156847 -86.845858,4703700000221,36.145816 -86.799116,4703700000434,1516630113200
36.034826 -86.675411,4703700000682,36.145816 -86.799116,4703700000434,1516630924089
36.140619 -86.795983,4703700000436,36.145816 -86.799116,4703700000434,1516630628702
36.050586 -86.959456,4703700000571,36.141969 -86.806068,4703700000448,1516630222730
36.050586 -86.959456,4703700000571,36.144672 -86.803064,4703700000445,1516631793563
36.050586 -86.959456,4703700000571,36.141969 -86.806068,4703700000448,1516631757313
36.156416 -86.809952,4703700000257,36.145816 -86.799116,4703700000434,1516631470160
36.208934 -86.740054,4703700000146,36.144672 -86.803064,4703700000445,1516630291467
36.142444 -86.799244,4703700000431,36.143494 -86.811862,4703700000453,1516631022824
36.142444 -86.799244,4703700000431,36.140998 -86.813493,4703700000453,1516630386020
36.142444 -86.799244,4703700000431,36.140998 -86.813493,4703700000453,1516629783482
36.147006 -86.799944,4703700000445,36.143494 -86.811862,4703700000453,1516631840967
36.040503 -86.757473,4703700000606,36.140998 -86.813493,4703700000453,1516630753281
36.040503 -86.757473,4703700000606,36.145816 -86.799116,4703700000434,1516632568609
36.040503 -86.757473,4703700000606,36.143494 -86.811862,4703700000453,1516632108320
35.984356 -86.666976,4703700000669,36.141969 -86.806068,4703700000448,1516632045012
35.984356 -86.666976,4703700000669,36.144672 -86.803064,4703700000445,1516629737514
36.162304 -86.633359,4703700000304,36.140998 -86.813493,4703700000453,1516630242116
36.178585 -86.747796,4703700000683,36.141969 -86.806068,4703700000448,1516632069291
36.218275 -86.594091,4703700000285,36.140998 -86.813493,4703700000453,1516631615805
36.218275 -86.594091,4703700000285,36.143494 -86.811862,4703700000453,1516632449171
36.218275 -86.594091,4703700000285,36.144672 -86.803064,4703700000445,1516633060736
36.243121 -86.775329,4703700000125,36.145816 -86.799116,4703700000434,1516630359474
36.057782 -86.758847,4703700000600,36.140998 -86.813493,4703700000453,1516632632471
36.146043 -86.816551,4703700000450,36.144672 -86.803064,4703700000445,1516631851328
36.129112 -86.87856,4703700000535,36.144672 -86.803064,4703700000445,1516631940326
36.129112 -86.87856,4703700000535,36.145816 -86.799116,4703700000434,1516632860673
36.129112 -86.87856,4703700000535,36.144672 -86.803064,4703700000445,1516632281872
36.120136 -86.880013,4703700000535,36.145816 -86.799116,4703700000434,1516630829315
36.120136 -86.880013,4703700000535,36.145816 -86.799116,4703700000434,1516633098225
36.148282 -86.851956,4703700000223,36.140998 -86.813493,4703700000453,1516633067795
36.184404 -86.808107,4703700000238,36.144672 -86.803064,4703700000445,1516630010350
36.227221 -86.744749,4703700000136,36.145816 -86.799116,4703700000434,1516631209698
36.113333 -86.919138,4703700000542,36.143494 -86.811862,4703700000453,1516631787985
36.187222 -86.591213,4703700000361,36.140998 -86.813493,4703700000453,1516631345453
36.117221 -86.628943,4703700000374,36.141969 -86.806068,4703700000448,1516632955859
36.084503 -87.01836,4703700000554,36.143494 -86.811862,4703700000453,1516629670807
36.084503 -87.01836,4703700000554,36.144672 -86.803064,4703700000445,1516629757028
36.156482 -86.843327,4703700000220,36.141969 -86.806068,4703700000448,1516631912570
36.15199 -86.778088,4703700000710,36.144672 -86.803064,4703700000445,1516632563461
36.128606 -86.870513,4703700000534,36.145816 -86.799116,4703700000434,1516630410300
36.142134 -86.80243,4703700000447,36.145816 -86.799116,4703700000434,1516630154041
36.112917 -86.794095,4703700000508,36.140998 -86.813493,4703700000453,1516632587095
36.117849 -86.779221,4703700000476,36.144672 -86.803064,4703700000445,1516630152938
36.019229 -86.737373,4703700000675,36.143494 -86.811862,4703700000453,1516632099172
36.144917 -86.800417,4703700000445,36.145816 -86.799116,4703700000434,1516630129996
36.144917 -86.800417,4703700000445,36.145816 -86.799116,4703700000434,1516630846318
36.084904 -86.641346,4703700000323,36.144672 -86.803064,4703700000445,1516631543529
36.004231 -86.697362,4703700000671,36.144672 -86.803064,4703700000445,1516633101783
36.131733 -86.816973,4703700000464,36.143494 -86.811862,4703700000453,1516631581983
36.081264 -86.92403,4703700000556,36.143494 -86.811862,4703700000453,1516629687973
36.081264 -86.92403,4703700000556,36.143494 -86.811862,4703700000453,1516629716140
36.047019 -86.718034,4703700000643,36.140998 -86.813493,4703700000453,1516629769687
36.164855 -86.855237,4703700000219,36.144672 -86.803064,4703700000445,1516631645625
36.164855 -86.855237,4703700000219,36.143494 -86.811862,4703700000453,1516631074733
36.072361 -86.981969,4703700000574,36.141969 -86.806068,4703700000448,1516631592374
36.072361 -86.981969,4703700000574,36.144672 -86.803064,4703700000445,1516632039406
36.072361 -86.981969,4703700000574,36.141969 -86.806068,4703700000448,1516631330834
36.072361 -86.981969,4703700000574,36.141969 -86.806068,4703700000448,1516629839676
36.072361 -86.981969,4703700000574,36.141969 -86.806068,4703700000448,1516630978094
36.043588 -86.740004,4703700000647,36.140998 -86.813493,4703700000453,1516630401453
36.123429 -86.815118,4703700000521,36.140998 -86.813493,4703700000453,1516632424671
36.123429 -86.815118,4703700000521,36.144672 -86.803064,4703700000445,1516630009610
36.099356 -86.796587,4703700000501,36.145816 -86.799116,4703700000434,1516632341748
36.29276 -86.692787,4703700000077,36.143494 -86.811862,4703700000453,1516631775597
36.254902 -86.740275,4703700000118,36.141969 -86.806068,4703700000448,1516630844858
36.085491 -86.907085,4703700000540,36.143494 -86.811862,4703700000453,1516630806728
36.141485 -86.829965,4703700000222,36.145816 -86.799116,4703700000434,1516631552608
36.036885 -86.745153,4703700000609,36.140998 -86.813493,4703700000453,1516631587472
36.036885 -86.745153,4703700000609,36.140998 -86.813493,4703700000453,1516631496593
36.036885 -86.745153,4703700000609,36.145816 -86.799116,4703700000434,1516632378056
36.141485 -86.829965,4703700000222,36.141969 -86.806068,4703700000448,1516630064425
36.043118 -86.747864,4703700000599,36.141969 -86.806068,4703700000448,1516632638728
36.043118 -86.747864,4703700000599,36.145816 -86.799116,4703700000434,1516630388853
36.058864 -86.738428,4703700000623,36.144672 -86.803064,4703700000445,1516630850343
36.145705 -86.800249,4703700000445,36.145816 -86.799116,4703700000434,1516630835680
36.145705 -86.800249,4703700000445,36.144672 -86.803064,4703700000445,1516631397403
36.145705 -86.800249,4703700000445,36.143494 -86.811862,4703700000453,1516631923625
36.028165 -86.736123,4703700000677,36.141969 -86.806068,4703700000448,1516632417443
36.075496 -86.929409,4703700000557,36.144672 -86.803064,4703700000445,1516630726705
36.075496 -86.929409,4703700000557,36.140998 -86.813493,4703700000453,1516632343813
36.132622 -86.810102,4703700000460,36.144672 -86.803064,4703700000445,1516631649027
36.112154 -86.568032,4703700000396,36.144672 -86.803064,4703700000445,1516630101749
36.112154 -86.568032,4703700000396,36.145816 -86.799116,4703700000434,1516632251787
36.075614 -86.990057,4703700000570,36.143494 -86.811862,4703700000453,1516631284694
36.22818 -86.719964,4703700000139,36.143494 -86.811862,4703700000453,1516630083263
36.192171 -86.639803,4703700000290,36.143494 -86.811862,4703700000453,1516632069324
36.192171 -86.639803,4703700000290,36.144672 -86.803064,4703700000445,1516632827562
36.148231 -86.802774,4703700000445,36.145816 -86.799116,4703700000434,1516629659219
36.176767 -86.796852,4703700000701,36.143494 -86.811862,4703700000453,1516632988268
36.148231 -86.802774,4703700000445,36.144672 -86.803064,4703700000445,1516632662149
36.112917 -86.794095,4703700000508,36.140998 -86.813493,4703700000453,1516632885998
36.008339 -86.633413,4703700000678,36.143494 -86.811862,4703700000453,1516630399670
36.008339 -86.633413,4703700000678,36.145816 -86.799116,4703700000434,1516631258610
36.032581 -87.025548,4703700000553,36.144672 -86.803064,4703700000445,1516631734709
36.03478 -86.71577,4703700000676,36.141969 -86.806068,4703700000448,1516629980443
36.03478 -86.71577,4703700000676,36.144672 -86.803064,4703700000445,1516632871048
36.034826 -86.675411,4703700000682,36.144672 -86.803064,4703700000445,1516633046922
36.034826 -86.675411,4703700000682,36.143494 -86.811862,4703700000453,1516631310850
36.159758 -86.802814,4703700000255,36.140998 -86.813493,4703700000453,1516632485692
36.159758 -86.802814,4703700000255,36.145816 -86.799116,4703700000434,1516630522551
36.105619 -86.92441,4703700000555,36.141969 -86.806068,4703700000448,1516632822168
36.181099 -86.757276,4703700000179,36.144672 -86.803064,4703700000445,1516629786712
36.060853 -86.754309,4703700000598,36.140998 -86.813493,4703700000453,1516632258096
36.158524 -86.845697,4703700000221,36.145816 -86.799116,4703700000434,1516630558486
36.215293 -86.721764,4703700000142,36.144672 -86.803064,4703700000445,1516631062380
36.186753 -86.770551,4703700000188,36.141969 -86.806068,4703700000448,1516632907998
36.031386 -86.718019,4703700000676,36.140998 -86.813493,4703700000453,1516630711151
36.210134 -86.7861,4703700000190,36.140998 -86.813493,4703700000453,1516631187184
36.14435 -86.805934,4703700000445,36.140998 -86.813493,4703700000453,1516631810398
36.14435 -86.805934,4703700000445,36.144672 -86.803064,4703700000445,1516630069949
36.14435 -86.805934,4703700000445,36.141969 -86.806068,4703700000448,1516630383162
36.160655 -86.875721,4703700000215,36.143494 -86.811862,4703700000453,1516630273919
36.143109 -86.808611,4703700000446,36.145816 -86.799116,4703700000434,1516631957251
36.136823 -86.875414,4703700000531,36.144672 -86.803064,4703700000445,1516630421329
36.136823 -86.875414,4703700000531,36.141969 -86.806068,4703700000448,1516629760288
36.097578 -86.802256,4703700000502,36.141969 -86.806068,4703700000448,1516631947117
36.132329 -86.798926,4703700000461,36.143494 -86.811862,4703700000453,1516632236478
36.148137 -86.802887,4703700000445,36.143494 -86.811862,4703700000453,1516633079709
36.148137 -86.802887,4703700000445,36.145816 -86.799116,4703700000434,1516631500527
36.179753 -86.742999,4703700000183,36.143494 -86.811862,4703700000453,1516631306038
36.179753 -86.742999,4703700000183,36.143494 -86.811862,4703700000453,1516630408292
36.079642 -86.909521,4703700000540,36.141969 -86.806068,4703700000448,1516630396618
36.143463 -86.810023,4703700000446,36.145816 -86.799116,4703700000434,1516633098831
36.12107 -86.815362,4703700000521,36.143494 -86.811862,4703700000453,1516632333921
36.073849 -86.727233,4703700000620,36.140998 -86.813493,4703700000453,1516630346685
36.149903 -86.800395,4703700000713,36.145816 -86.799116,4703700000434,1516631441449
36.149903 -86.800395,4703700000713,36.141969 -86.806068,4703700000448,1516630089211
36.143109 -86.808611,4703700000446,36.143494 -86.811862,4703700000453,1516630335800
36.143109 -86.808611,4703700000446,36.145816 -86.799116,4703700000434,1516630178649
36.143109 -86.808611,4703700000446,36.145816 -86.799116,4703700000434,1516631235954
36.143109 -86.808611,4703700000446,36.141969 -86.806068,4703700000448,1516630104804
36.303296 -86.840087,4703700000045,36.144672 -86.803064,4703700000445,1516631699731
36.034826 -86.675411,4703700000682,36.143494 -86.811862,4703700000453,1516632705984
36.059907 -86.974311,4703700000570,36.140998 -86.813493,4703700000453,1516632865013
36.059907 -86.974311,4703700000570,36.144672 -86.803064,4703700000445,1516631232561
36.149921 -86.800495,4703700000713,36.144672 -86.803064,4703700000445,1516630624875
36.139925 -86.782795,4703700000425,36.140998 -86.813493,4703700000453,1516631790685
36.192844 -86.63961,4703700000290,36.144672 -86.803064,4703700000445,1516632852081
36.192844 -86.63961,4703700000290,36.145816 -86.799116,4703700000434,1516631315063
36.192844 -86.63961,4703700000290,36.141969 -86.806068,4703700000448,1516632431241
36.192844 -86.63961,4703700000290,36.145816 -86.799116,4703700000434,1516630061264
36.140513 -86.820016,4703700000450,36.143494 -86.811862,4703700000453,1516631184822
36.140513 -86.820016,4703700000450,36.144672 -86.803064,4703700000445,1516632399906
36.052234 -86.655717,4703700000382,36.143494 -86.811862,4703700000453,1516630183422
36.079391 -86.659575,4703700000333,36.141969 -86.806068,4703700000448,1516631593340
36.120971 -86.906273,4703700000542,36.141969 -86.806068,4703700000448,1516630847022
36.034993 -86.746937,4703700000609,36.143494 -86.811862,4703700000453,1516631235823
36.034993 -86.746937,4703700000609,36.144672 -86.803064,4703700000445,1516630090946
36.058594 -86.631751,4703700000385,36.141969 -86.806068,4703700000448,1516630065477
36.056303 -86.73007,4703700000624,36.145816 -86.799116,4703700000434,1516631128436
36.148231 -86.802774,4703700000445,36.144672 -86.803064,4703700000445,1516630194834
36.131845 -86.827976,4703700000458,36.143494 -86.811862,4703700000453,1516631510369
36.131845 -86.827976,4703700000458,36.145816 -86.799116,4703700000434,1516631936905
36.131845 -86.827976,4703700000458,36.143494 -86.811862,4703700000453,1516631320536
36.182925 -86.767711,4703700000177,36.140998 -86.813493,4703700000453,1516631812609
36.182925 -86.767711,4703700000177,36.141969 -86.806068,4703700000448,1516629900073
